Airport: Albuquerque, NM - Albuquerque International (ABQ)									
Airline: Southwest Airlines (WN)										
Month: November										
Day: 11										
Year: 2011										
CarrierCode	 Date(MM/DD/YYYY)	 FlightNumber	 TailNumber	 DestinationAirport	 ScheduledDepartureTimeHr	 ScheduledDepartureTimeMin	 ActualDepartureTimeHr	 ActualDepartureTimeMin	 ScheduledElapsedTime(Minutes)	 ActualElapsedTime(Minutes) 
        
WN	 11/11/2011	5	 N446WN	 TUS	 11 : 10	 11 : 09	70	67		
WN	 11/11/2011	14	 N369SW	 LAX	 12 : 15	 12 : 39	125	124		
WN	 11/11/2011	31	 N798SW	 DAL	 11 : 00	 11 : 19	95	87		
WN	 11/11/2011	218	 N754SW	 HOU	 16 : 15	 16 : 23	115	121		
WN	 11/11/2011	285	 N424WN	 LAS	 20 : 45	 20 : 39	100	90		
WN	 11/11/2011	332	 N287WN	 PHX	 9 : 05	 9 : 02	75	78		
WN	 11/11/2011	344	 N679AA	 PHX	 7 : 25	 7 : 25	80	71		
WN	 11/11/2011	378	 N382SW	 DAL	 20 : 15	 20 : 40	90	80		
WN	 11/11/2011	396	 N326SW	 DAL	 8 : 40	 8 : 41	95	93		
WN	 11/11/2011	411	 N503SW	 PDX	 14 : 25	 14 : 29	185	169		
WN	 11/11/2011	422	 N382SW	 LAS	 10 : 00	 10 : 07	100	90		
WN	 11/11/2011	435	 N367SW	 LAS	 7 : 55	 7 : 52	100	92		
WN	 11/11/2011	437	 N239WN	 OAK	 12 : 50	 12 : 44	155	162		
WN	 11/11/2011	442	 N342SW	 DAL	 17 : 30	 17 : 50	100	83		
WN	 11/11/2011	471	 N550WN	 HOU	 9 : 30	 9 : 27	120	103		
WN	 11/11/2011	496	 N340LV	 SAN	 17 : 30	 17 : 27	115	111		
WN	 11/11/2011	589	 N937WN	 PHX	 14 : 50	 14 : 51	75	70		
WN	 11/11/2011	615	 N276WN	 DAL	 16 : 00	 15 : 53	95	83		
WN	 11/11/2011	622	 N670SW	 ELP	 18 : 30	 18 : 31	55	49		
WN	 11/11/2011	649	 N762SW	 MDW	 12 : 45	 12 : 44	160	162		
WN	 11/11/2011	719	 N226WN	 MCI	 12 : 00	 11 : 59	110	103		
WN	 11/11/2011	751	 N782SA	 STL	 10 : 50	 10 : 56	135	122		
WN	 11/11/2011	769	 N657SW	 SAN	 8 : 00	 7 : 56	120	112		
WN	 11/11/2011	787	 N611SW	 LAS	 14 : 35	 14 : 39	95	93		
WN	 11/11/2011	788	 N256WN	 LBB	 20 : 15	 20 : 11	55	47		
WN	 11/11/2011	806	 N478WN	 PHX	 11 : 30	 11 : 27	75	78		
WN	 11/11/2011	820	 N712SW	 MCO	 10 : 05	 10 : 05	200	190		
WN	 11/11/2011	848	 N438WN	 PHX	 6 : 00	 5 : 59	80	70		
WN	 11/11/2011	860	 N767SW	 DEN	 7 : 35	 7 : 31	80	71		
WN	 11/11/2011	920	 N298WN	 DAL	 13 : 55	 13 : 58	95	86		
WN	 11/11/2011	957	 N278WN	 DAL	 6 : 15	 6 : 14	100	89		
WN	 11/11/2011	1008	 N741SA	 LAS	 18 : 35	 18 : 39	100	98		
WN	 11/11/2011	1024	 N786SW	 ELP	 10 : 15	 10 : 13	55	47		
WN	 11/11/2011	1036	 N720WN	 DEN	 9 : 55	 9 : 52	75	68		
WN	 11/11/2011	1044	 N274WN	 DAL	 13 : 05	 13 : 23	95	90		
WN	 11/11/2011	1083	 N434WN	 SEA	 19 : 25	 19 : 35	205	1816	 	
WN	 11/11/2011	1105	 N208WN	 PHX	 17 : 40	 17 : 39	75	73		
WN	 11/11/2011	1154	 N473WN	 BWI	 15 : 15	 15 : 22	220	226		
WN	 11/11/2011	1254	 N329SW	 HOU	 6 : 00	 6 : 01	120	107		
WN	 11/11/2011	1397	 N238WN	 SLC	 13 : 50	 13 : 49	95	86		
WN	 11/11/2011	1479	 N706SW	 MDW	 6 : 25	 6 : 21	165	148		
WN	 11/11/2011	1486	 N202WN	 OAK	 7 : 25	 7 : 34	160	146		
WN	 11/11/2011	1489	 N959WN	 OAK	 19 : 00	 18 : 58	170	154		
WN	 11/11/2011	1537	 N396SW	 TUS	 18 : 05	 18 : 12	70	67		
WN	 11/11/2011	1582	 N342SW	 LAX	 7 : 25	 7 : 28	130	138		
WN	 11/11/2011	1592	 N333SW	 LAX	 16 : 55	 16 : 58	125	136		
WN	 11/11/2011	1766	 N604SW	 MAF	 20 : 15	 20 : 25	60	54		
WN	 11/11/2011	1843	 N630WN	 DEN	 17 : 25	 17 : 25	75	72		
WN	 11/11/2011	1985	 N794SW	 SEA	 8 : 55	 8 : 53	200	188		
WN	 11/11/2011	2184	 N375SW	 PHX	 19 : 35	 19 : 35	75	79		
WN	 11/11/2011	2371	 N331SW	 LAX	 20 : 20	 20 : 50	130	148		
WN	 11/11/2011	2819	 N481WN	 PHX	 8 : 20	 8 : 20	75	75		
SOURCE: Bureau of Transportation Statistics										
